[I 2024-03-23 10:04:40,835] A new study created in memory with name: no-name-592f1f44-dbdf-4fd1-af17-1dc5a5448f2b
[I 2024-03-23 10:28:22,339] Trial 69 finished with value: 3.919308292865753 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:28:31,569] Trial 70 finished with value: 3.9489426453908285 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:28:36,487] Trial 71 finished with value: 3.721451389789581 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:29:23,417] Trial 72 finished with value: 3.777558741569519 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:29:39,552] Trial 73 finished with value: 3.71073299407959 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:29:55,401] Trial 74 finished with value: 3.820974202156067 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:30:04,767] Trial 75 finished with value: 3.947196179628372 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:30:31,075] Trial 76 finished with value: 3.8479686657587684 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:30:40,547] Trial 77 finished with value: 3.988957440853119 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:30:54,741] Trial 78 finished with value: 3.905231314897537 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:30:59,655] Trial 79 finished with value: 3.761634957790375 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:31:26,929] Trial 80 finished with value: 3.7201237241427103 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
