[I 2024-03-20 23:28:37,265] Trial 106 finished with value: 4.019714982509614 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:29:24,979] Trial 107 finished with value: 3.7649869481722518 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:30:13,731] Trial 108 finished with value: 3.7885404229164124 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:31:02,446] Trial 109 finished with value: 3.6600717544555663 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:31:51,086] Trial 110 finished with value: 3.801789939403534 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:32:39,881] Trial 111 finished with value: 3.9283125519752504 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:33:28,609] Trial 112 finished with value: 4.170102989673614 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:34:17,470] Trial 113 finished with value: 3.418944537639618 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:35:06,272] Trial 114 finished with value: 3.6589465737342834 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:35:55,101] Trial 115 finished with value: 3.242145228385925 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
