[I 2024-03-21 23:02:16,528] A new study created in memory with name: no-name-ec2b763e-7aef-4c6c-bf8c-f5bebffa5c7d
[I 2024-03-22 00:36:50,560] Trial 86 finished with value: 0.386530951350896 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:38:16,202] Trial 87 finished with value: 0.37947748158274475 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:39:19,809] Trial 88 finished with value: 0.3824168990895404 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:40:19,355] Trial 89 finished with value: 0.3757284328475464 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:41:58,296] Trial 90 finished with value: 0.41657236812035575 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:43:34,759] Trial 91 finished with value: 0.3870981065717908 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:44:38,448] Trial 92 finished with value: 0.34967202388255025 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:45:33,238] Trial 93 finished with value: 0.3817079381068301 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:46:30,660] Trial 94 finished with value: 0.37062672449669354 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:47:27,887] Trial 95 finished with value: 0.3870999145514381 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:48:50,645] Trial 96 finished with value: 0.37906096980889226 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 4, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:49:43,447] Trial 97 finished with value: 0.3404654379169615 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:50:43,186] Trial 98 finished with value: 0.36194647114151757 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:51:40,940] Trial 99 finished with value: 0.39736056495059263 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:52:48,521] Trial 100 finished with value: 0.38044914493830906 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:54:32,492] Trial 101 finished with value: 0.40195248887769663 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 4, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
