[I 2024-03-22 22:55:12,319] Trial 75 finished with value: 0.6259590151850214 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:55:25,618] Trial 76 finished with value: 0.5734379074838583 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:56:00,972] Trial 77 finished with value: 0.607361713296209 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:56:21,722] Trial 78 finished with value: 0.5951861141954022 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:56:44,292] Trial 79 finished with value: 0.5868321771108149 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:57:04,106] Trial 80 finished with value: 0.6154627350814412 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:57:26,784] Trial 81 finished with value: 0.628752898288502 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:58:33,854] Trial 82 finished with value: 0.6189805653582743 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:00:04,108] Trial 83 finished with value: 0.6382970383589579 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:00:38,092] Trial 84 finished with value: 0.6155437067413603 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:01:21,479] Trial 85 finished with value: 0.5651086374925385 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
